region,#,Building Name,City,Height (m),Height (ft),Floors,Completion,Material,Use,timestamp
Africa,44,El Maadi Residential Tower V,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower VI,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower VII,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower VIII,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower X,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower XI,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,44,El Maadi Residential Tower XII,Cairo (EG),122,400,35,1987,concrete,residential,2019-01-18T02:39:17Z
Africa,52,Corinthia Bab Africa Hotel Tower 1,Tripoli (LY),120,394,28,2003,concrete,hotel,2019-01-18T02:39:17Z
Africa,52,Embassy Building,Durban (ZA),120,394,28,1991,concrete,office,2019-01-18T02:39:17Z
Africa,54,El Fateh Tower,Tripoli (LY),120,394,25,2003,concrete,office,2019-01-18T02:39:17Z
Africa,55,Abuja World Trade Center Commercial Tower,Abuja (NG),120,394,24,2017,concrete,office,2019-01-18T02:39:17Z
Africa,56,ABSA Centre,Cape Town (ZA),119,390,33,1970,concrete,office,2019-01-18T02:39:17Z
Africa,57,Carlton Hotel,Johannesburg (ZA),119,390,30,1973,concrete,hotel,2019-01-18T02:39:17Z
Africa,58,Holiday Inn Garden Court Marine Parade,Durban (ZA),118.3,388,28,1985,concrete,hotel,2019-01-18T02:39:17Z
Africa,59,Pearl Breeze,Durban (ZA),118.2,388,25,2008,concrete,residential,2019-01-18T02:39:17Z
Africa,60,Holiday Inn Garden Court North Beach,Durban (ZA),118,387,33,1978,concrete,hotel,2019-01-18T02:39:17Z
Africa,61,Metlife Centre,Cape Town (ZA),118,387,28,1993,concrete,office,2019-01-18T02:39:17Z
Africa,62,African Union Headquarters,Addis Ababa (ET),117.7,386,21,2011,concrete,office,2019-01-18T02:39:17Z
Africa,63,Radisson Blu Hotel and Residence Cape Town,Cape Town (ZA),114,374,26,1993,concrete,residential / hotel,2019-01-18T02:39:17Z
Africa,64,Cape Sun Southern Sun,Cape Town (ZA),113,371,33,1983,concrete,hotel,2019-01-18T02:39:17Z
Africa,65,Bahia Center Tower A,Oran (DZ),111,364,31,2009,concrete,residential,2019-01-18T02:39:17Z
Africa,65,Bahia Center Tower B,Oran (DZ),111,364,31,2014,concrete,residential,2019-01-18T02:39:17Z
Africa,65,Bahia Center Tower C,Oran (DZ),111,364,31,2012,concrete,residential,2019-01-18T02:39:17Z
Africa,65,Bahia Center Tower D,Oran (DZ),111,364,31,2011,concrete,residential,2019-01-18T02:39:17Z
Africa,69,320 West Street,Durban (ZA),110.3,362,30,1973,concrete,office,2019-01-18T02:39:17Z
Africa,70,101 Victoria Embankment,Durban (ZA),110,361,38,1981,concrete,residential,2019-01-18T02:39:17Z
Africa,71,Protea Hotel Landmark Lodge,Durban (ZA),110,361,31,1976,concrete,hotel / office,2019-01-18T02:39:17Z
Africa,72,Agricultural Union Centre,Pretoria (ZA),110,361,30,1968,concrete,office,2019-01-18T02:39:17Z
Africa,72,Poytons Building,Pretoria (ZA),110,361,30,1968,concrete,office,2019-01-18T02:39:17Z
Africa,74,Golden Acre,Cape Town (ZA),110,361,28,1979,concrete,office,2019-01-18T02:39:17Z
Africa,75,Schlesinger Building,Johannesburg (ZA),110,361,21,1965,concrete,office,2019-01-18T02:39:17Z
Africa,76,Sofitel Cairo Nile El Gezirah,Cairo (EG),109.7,360,30,1984,concrete,hotel,2019-01-18T02:39:17Z
Africa,77,The Palace,Durban (ZA),109.7,360,26,1983,concrete,hotel,2019-01-18T02:39:17Z
Africa,78,Kenya Commercial Bank Plaza,Nairobi (KE),109.1,358,24,2015,concrete,office,2019-01-18T02:39:17Z
Africa,79,John Ross House,Durban (ZA),109.1,358,33,1973,concrete,residential / office,2019-01-18T02:39:17Z
Africa,80,Predio 33 Andares,Maputo (MZ),106,348,33,1982,concrete,residential / office,2019-01-18T02:39:17Z
Africa,81,Durban Bay House,Durban (ZA),106,348,32,2011,concrete,office,2019-01-18T02:39:17Z
Africa,82,Tour Nabemba,Brazzaville (CG),106,348,30,1986,concrete,office,2019-01-18T02:39:17Z
Africa,83,PwC Tower,Midrand (ZA),106,348,26,2018,concrete,office,2019-01-18T02:39:17Z
Africa,84,Kenyatta International Conference Centre,Nairobi (KE),105.2,345,32,1974,concrete,office,2019-01-18T02:39:17Z
Africa,85,Highpoint Hillbrow,Johannesburg (ZA),105,344,28,1972,concrete,residential,2019-01-18T02:39:17Z
Africa,86,Maluti Building,Durban (ZA),104,341,33,1984,concrete,residential,2019-01-18T02:39:17Z
Africa,87,Intercontinental Hotel & Casino,Luanda (AO),104,341,25,2014,concrete,hotel / casino,2019-01-18T02:39:17Z
Africa,88,Transnet Tower,Durban (ZA),103,338,27,1973,concrete,office,2019-01-18T02:39:17Z
Africa,89,ESCOM Building,Luanda (AO),102.2,335,24,2009,concrete,residential / office,2019-01-18T02:39:17Z
Africa,90,Saambou Bank Building,Pretoria (ZA),102,335,30,1974,concrete,office,2019-01-18T02:39:17Z
Africa,91,Servamus House,Durban (ZA),102,335,25,1973,concrete,office,2019-01-18T02:39:17Z
Africa,92,Western Cape Provincial Administration Building,Cape Town (ZA),101,331,26,1975,concrete,government,2019-01-18T02:39:17Z
Africa,93,Kruger Park,Pretoria (ZA),100,328,33,1985,concrete,residential,2019-01-18T02:39:17Z
Africa,94,Civic Centre,Cape Town (ZA),100,328,26,1978,concrete,government,2019-01-18T02:39:17Z
Africa,95,Nedbank Centre,Durban (ZA),96,315,25,1975,concrete,office,2019-01-18T02:39:17Z
Africa,96,Eagle Building,Durban (ZA),96,315,24,1976,concrete,office,2019-01-18T02:39:17Z
Africa,97,African Eagle Life Centre,Pretoria (ZA),95,312,27,1980,concrete,office,2019-01-18T02:39:17Z
Africa,98,Logistics House,Johannesburg (ZA),95,312,25,1974,concrete,office,2019-01-18T02:39:17Z
Africa,99,The Marine,Durban (ZA),95,312,24,1987,concrete,office,2019-01-18T02:39:17Z
Africa,100,Edificio Sonangol,Luanda (AO),94.5,310,23,2007,concrete,office,2019-01-18T02:39:17Z
Africa,101,2 Loop Street,Cape Town (ZA),93.3,306,24,1970,concrete,office,2019-01-18T02:39:17Z
Africa,102,Cartwright`s Corner House,Cape Town (ZA),92.4,303,24,1969,concrete,residential,2019-01-18T02:39:17Z
Africa,103,IBM Building,Johannesburg (ZA),91,299,25,1976,concrete,office,2019-01-18T02:39:17Z
Africa,104,Maroc Telecom,Rabat (MA),91,299,20,2013,concrete,office,2019-01-18T02:39:17Z
Africa,105,Kampala Hilton,Kampala (UG),90,295,24,2013,concrete,hotel,2019-01-18T02:39:17Z
Africa,106,Kigali City Tower,Kigali (RW),90,295,20,2011,concrete,office,2019-01-18T02:39:17Z
Africa,107,The Royal Hotel,Durban (ZA),89.1,292,21,1977,concrete,hotel,2019-01-18T02:39:17Z
Africa,108,Naspers Centre,Cape Town (ZA),89,292,22,1962,concrete,office,2019-01-18T02:39:17Z
Africa,109,Sanlam Tower,Nairobi (KE),88.2,289,19,2018,concrete,office,2019-01-18T02:39:17Z
Africa,110,Mutual Heights,Cape Town (ZA),84,276,18,1939,concrete,residential,2019-01-18T02:39:17Z
Africa,111,Cooperative Bank House,Nairobi (KE),83,272,25,1981,concrete,office,2019-01-18T02:39:17Z
Africa,112,Nation Centre,Nairobi (KE),82.9,272,17,1997,concrete,office,2019-01-18T02:39:17Z
Africa,113,Sheraton Oran Hotel,Oran (DZ),77,253,19,2003,concrete,hotel,2019-01-18T02:39:17Z
Africa,114,Immeuble Kébé,Dakar (SN),76.2,250,21,1973,concrete,residential,2019-01-18T02:39:17Z
Africa,115,Villaggio II,Accra (GH),71,233,19,2011,concrete,residential,2019-01-18T02:39:17Z
Africa,116,ONRTV Tower,N`Djamena (TD),70,230,11,2015,concrete,office,2019-01-18T02:39:17Z
Africa,117,Carlton Towers,Durban (ZA),67,220,20,1965,concrete,residential,2019-01-18T02:39:17Z
Africa,118,Kalahari Sands Hotel and Casino,Windhoek (NA),60,197,17,1974,concrete,hotel,2019-01-18T02:39:17Z
Africa,119,Zeitz MOCAA,Cape Town (ZA),58,190,14,2017,composite,hotel / Museum,2019-01-18T02:39:17Z
Africa,120,Hotel Bangui,Bangui (CF),43,141,13,1970,concrete,hotel,2019-01-18T02:39:17Z
Africa,121,Kempinski Hotel,N`Djamena (TD),41,135,9,2004,concrete,hotel,2019-01-18T02:39:17Z
Africa,122,Salaam African Bank Tower,Djibouti (DJ),36,118,10,2014,concrete,office,2019-01-18T02:39:17Z
Africa,123,Prism Tower,Nairobi (KE),-,-,34,2018,concrete,office,2019-01-18T02:39:17Z
Africa,124,Rita Tower,Dar es Salaam (TZ),-,-,30,2014,concrete,hotel / office,2019-01-18T02:39:17Z
Africa,125,Millennium Tower,Dar es Salaam (TZ),-,-,27,2014,concrete,residential / office,2019-01-18T02:39:17Z
Africa,126,Cite Jeanne D'Arc,Oran (DZ),-,-,24,-,concrete,residential,2019-01-18T02:39:17Z
Africa,127,Hotel Kaloum Tower I,Conakry (GN),-,-,18,2017,concrete,hotel,2019-01-18T02:39:17Z
Africa,128,Corinthia Bab Africa Hotel Tower 2,Tripoli (LY),-,-,14,2003,concrete,hotel,2019-01-18T02:39:17Z
Africa,129,Casa Anfa Tower 1,Casablanca (MA),-,-,-,-,concrete,residential,2019-01-18T02:39:17Z
Africa,129,Casa Anfa Tower 2,Casablanca (MA),-,-,-,-,concrete,residential,2019-01-18T02:39:17Z
Asia,1,Shanghai Tower,Shanghai (CN),632,"2,073",128,2015,composite,hotel / office,2019-01-18T02:39:17Z
Asia,2,Ping An Finance Center,Shenzhen (CN),599.1,"1,965",115,2017,composite,office,2019-01-18T02:39:17Z
Asia,3,Lotte World Tower,Seoul (KR),554.5,"1,819",123,2017,composite,hotel / residential / office / retail,2019-01-18T02:39:17Z
Asia,4,Guangzhou CTF Finance Centre,Guangzhou (CN),530,"1,739",111,2016,composite,hotel / residential / office,2019-01-18T02:39:17Z
Asia,5,China Zun,Beijing (CN),527.7,"1,731",109,2018,composite,office,2019-01-18T02:39:17Z
Asia,6,TAIPEI 101,Taipei (TW),508,"1,667",101,2004,composite,office,2019-01-18T02:39:17Z
Asia,7,Shanghai World Financial Center,Shanghai (CN),492,"1,614",101,2008,composite,hotel / office,2019-01-18T02:39:17Z
Asia,8,International Commerce Centre,Hong Kong (CN),484,"1,588",108,2010,composite,hotel / office,2019-01-18T02:39:17Z
Asia,9,Vincom Landmark 81,Ho Chi Minh City (VN),461.3,"1,513",81,2018,composite,hotel / residential,2019-01-18T02:39:17Z
Asia,10,Changsha IFS Tower T1,Changsha (CN),452.1,"1,483",94,2018,composite,hotel / office,2019-01-18T02:39:17Z
Asia,11,Petronas Twin Tower 1,Kuala Lumpur (MY),451.9,"1,483",88,1998,composite,office,2019-01-18T02:39:17Z
Asia,11,Petronas Twin Tower 2,Kuala Lumpur (MY),451.9,"1,483",88,1998,composite,office,2019-01-18T02:39:17Z
Asia,13,Zifeng Tower,Nanjing (CN),450,"1,476",66,2010,composite,hotel / office,2019-01-18T02:39:17Z
Asia,14,KK100,Shenzhen (CN),441.8,"1,449",100,2011,composite,hotel / office,2019-01-18T02:39:17Z
Asia,15,Guangzhou International Finance Center,Guangzhou (CN),438.6,"1,439",103,2010,composite,hotel / office,2019-01-18T02:39:17Z
Asia,16,Jin Mao Tower,Shanghai (CN),420.5,"1,380",88,1999,composite,hotel / office,2019-01-18T02:39:17Z
Asia,17,Two International Finance Centre,Hong Kong (CN),412,"1,352",88,2003,composite,office,2019-01-18T02:39:17Z
Asia,18,China Resources Headquarters,Shenzhen (CN),392.5,"1,288",68,2018,composite,office,2019-01-18T02:39:17Z
Asia,19,CITIC Plaza,Guangzhou (CN),390.2,"1,280",80,1996,composite,office,2019-01-18T02:39:17Z
Asia,20,Shun Hing Square,Shenzhen (CN),384,"1,260",69,1996,composite,office,2019-01-18T02:39:17Z
Asia,21,Eton Place Dalian Tower 1,Dalian (CN),383.2,"1,257",80,2016,composite,hotel / office,2019-01-18T02:39:17Z
Asia,22,Nanning Logan Century 1,Nanning (CN),381.3,"1,251",82,2018,composite,hotel / office,2019-01-18T02:39:17Z
Asia,23,Central Plaza,Hong Kong (CN),373.9,"1,227",78,1992,concrete,office,2019-01-18T02:39:17Z
Asia,24,Bank of China Tower,Hong Kong (CN),367.4,"1,205",72,1990,composite,office,2019-01-18T02:39:17Z
Asia,25,Hanking Center Tower,Shenzhen (CN),358.9,"1,177",65,2018,composite,office,2019-01-18T02:39:17Z
Asia,26,Forum 66 Tower 1,Shenyang (CN),350.6,"1,150",68,2015,composite,hotel / office,2019-01-18T02:39:17Z
Asia,27,The Pinnacle,Guangzhou (CN),350.3,"1,149",60,2012,concrete,office,2019-01-18T02:39:17Z
Asia,28,85 Sky Tower,Kaohsiung (TW),347.5,"1,140",85,1997,steel,hotel / office / retail,2019-01-18T02:39:17Z
Asia,29,The Center,Hong Kong (CN),346,"1,135",73,1998,steel,office,2019-01-18T02:39:17Z
Asia,30,Four Seasons Place,Kuala Lumpur (MY),342.5,"1,124",65,2018,concrete,residential / hotel,2019-01-18T02:39:17Z
Asia,31,One Shenzhen Bay Tower 7,Shenzhen (CN),341.4,"1,120",71,2018,composite,residential / hotel / office,2019-01-18T02:39:17Z
Asia,32,Wuxi International Finance Square,Wuxi (CN),339,"1,112",68,2014,composite,hotel / office,2019-01-18T02:39:17Z
Asia,33,Chongqing World Financial Center,Chongqing (CN),338.9,"1,112",72,2015,composite,hotel / office,2019-01-18T02:39:17Z
Asia,34,Suning Plaza Tower 1,Zhenjiang (CN),338,"1,109",75,2018,composite,hotel / serviced apartments / SOHO / office,2019-01-18T02:39:17Z
Asia,35,Tianjin Modern City Office Tower,Tianjin (CN),338,"1,109",65,2016,composite,office,2019-01-18T02:39:17Z
Asia,36,Tianjin World Financial Center,Tianjin (CN),336.9,"1,105",75,2011,composite,office,2019-01-18T02:39:17Z
Asia,37,Shimao International Plaza,Shanghai (CN),333.3,"1,094",60,2006,concrete,hotel / office / retail,2019-01-18T02:39:17Z
Asia,38,Minsheng Bank Building,Wuhan (CN),331,"1,086",68,2008,steel,office,2019-01-18T02:39:17Z
Asia,39,China World Tower,Beijing (CN),330,"1,083",74,2010,composite,hotel / office,2019-01-18T02:39:17Z
Asia,40,Yuexiu Fortune Center Tower 1,Wuhan (CN),330,"1,083",69,2017,composite,office,2019-01-18T02:39:17Z
Asia,41,Hon Kwok City Center,Shenzhen (CN),329.4,"1,081",80,2017,composite,residential / office,2019-01-18T02:39:17Z
Asia,42,Zhuhai St. Regis Hotel & Office Tower,Zhuhai (CN),328.8,"1,079",66,2017,composite,hotel / office,2019-01-18T02:39:17Z
Asia,43,Keangnam Hanoi Landmark Tower,Hanoi (VN),328.6,"1,078",72,2012,concrete,hotel / residential / office,2019-01-18T02:39:17Z
Asia,44,Longxi International Hotel,Wuxi (CN),328,"1,076",72,2011,composite,residential / hotel,2019-01-18T02:39:17Z
Asia,45,Wuxi Suning Plaza 1,Wuxi (CN),328,"1,076",67,2014,composite,hotel / serviced apartments / office,2019-01-18T02:39:17Z
Asia,46,Baoneng Center,Shenzhen (CN),327.3,"1,074",65,2018,composite,office,2019-01-18T02:39:17Z
Asia,47,Deji Plaza,Nanjing (CN),324,"1,063",62,2013,composite,hotel / office,2019-01-18T02:39:17Z
Asia,48,Yantai Shimao No. 1 The Harbour,Yantai (CN),323,"1,060",59,2017,composite,residential / hotel / office,2019-01-18T02:39:17Z
Asia,49,Wenzhou Trade Center,Wenzhou (CN),321.9,"1,056",68,2011,concrete,hotel / office,2019-01-18T02:39:17Z
Asia,50,Guangxi Finance Plaza,Nanning (CN),321,"1,053",68,2017,composite,hotel / office,2019-01-18T02:39:17Z
Asia,51,Nina Tower,Hong Kong (CN),320.4,"1,051",80,2006,concrete,hotel / office,2019-01-18T02:39:17Z
Asia,52,Sinar Mas Center 1,Shanghai (CN),320,"1,050",65,2017,composite,office,2019-01-18T02:39:17Z
Asia,53,Global City Square,Guangzhou (CN),318.9,"1,046",67,2016,composite,office,2019-01-18T02:39:17Z
Asia,54,Jiuzhou International Tower,Nanning (CN),318,"1,043",71,2017,composite,office,2019-01-18T02:39:17Z
Asia,55,Fanya International Finance Building North,Kunming (CN),317.8,"1,043",67,2016,composite,office,2019-01-18T02:39:17Z
Asia,56,Fanya International Finance Building South,Kunming (CN),317.8,"1,043",66,2016,composite,office,2019-01-18T02:39:17Z
Asia,57,Chongqing IFS T1,Chongqing (CN),316.3,"1,038",63,2016,composite,hotel / office,2019-01-18T02:39:17Z
Asia,58,Magnolias Waterfront Residences Tower 1,Bangkok (TH),315,"1,033",70,2018,concrete,residential,2019-01-18T02:39:17Z
Asia,59,Jumeirah Nanjing Hotel & Cultural Centre Tower 2,Nanjing (CN),315,"1,033",67,2015,composite,hotel / office,2019-01-18T02:39:17Z
Asia,60,Changsha IFS Tower T2,Changsha (CN),315,"1,033",63,2018,composite,office,2019-01-18T02:39:17Z
Asia,61,King Power MahaNakhon,Bangkok (TH),314,"1,030",79,2016,concrete,residential / hotel,2019-01-18T02:39:17Z
Asia,62,Honglou Times Square,Lanzhou (CN),313,"1,027",56,2018,composite,hotel / office,2019-01-18T02:39:17Z
Asia,63,Poly Pazhou C2,Guangzhou (CN),311,"1,020",61,2017,composite,office,2019-01-18T02:39:17Z
Asia,64,Moi Center Tower A,Shenyang (CN),311,"1,020",75,2014,composite,hotel / office,2019-01-18T02:39:17Z
Asia,65,Menara TM,Kuala Lumpur (MY),310,"1,017",55,2001,concrete,office,2019-01-18T02:39:17Z
Asia,66,Pearl River Tower,Guangzhou (CN),309.4,"1,015",71,2013,composite,office,2019-01-18T02:39:17Z
Asia,67,Fortune Center,Guangzhou (CN),309.4,"1,015",68,2015,composite,office,2019-01-18T02:39:17Z
Asia,68,Guangfa Securities Headquarters,Guangzhou (CN),308,"1,010",59,2018,composite,office,2019-01-18T02:39:17Z
Asia,69,East Pacific Center Tower A,Shenzhen (CN),306,"1,004",85,2013,composite,residential,2019-01-18T02:39:17Z
Asia,70,Northeast Asia Trade Tower,Incheon (KR),305,"1,001",68,2011,composite,residential / hotel / office,2019-01-18T02:39:17Z
Asia,71,Shenzhen CFC Changfu Centre,Shenzhen (CN),304.3,998,68,2015,composite,office,2019-01-18T02:39:17Z
Asia,72,Baiyoke Tower II,Bangkok (TH),304,997,85,1997,concrete,hotel,2019-01-18T02:39:17Z
Asia,73,Wuxi Maoye City - Marriott Hotel,Wuxi (CN),303.8,997,68,2014,composite,hotel,2019-01-18T02:39:17Z
Asia,74,Diwang International Fortune Center,Liuzhou (CN),303,994,72,2015,composite,office / hotel,2019-01-18T02:39:17Z
Asia,75,Greenland Puli Center,Jinan (CN),303,994,61,2014,composite,office,2019-01-18T02:39:17Z
Asia,76,"Jiangxi Nanchang Greenland Central Plaza, Parcel A",Nanchang (CN),303,994,59,2015,composite,office,2019-01-18T02:39:17Z
Asia,76,"Jiangxi Nanchang Greenland Central Plaza, Parcel B",Nanchang (CN),303,994,59,2015,composite,office,2019-01-18T02:39:17Z
Asia,78,Leatop Plaza,Guangzhou (CN),302.7,993,64,2012,composite,office,2019-01-18T02:39:17Z
Asia,79,Gate to the East,Suzhou (CN),301.8,990,66,2015,composite,residential / hotel / office,2019-01-18T02:39:17Z
Asia,80,Shenzhen Zhongzhou Holdings Financial Center,Shenzhen (CN),300.8,987,61,2015,composite,hotel / office,2019-01-18T02:39:17Z
Asia,81,Doosan Haeundae We've the Zenith Tower A,Busan (KR),300,984,80,2011,concrete,residential,2019-01-18T02:39:17Z
Asia,82,Huachuang International Plaza Tower 1,Changsha (CN),300,984,66,2017,composite,hotel / office,2019-01-18T02:39:17Z
Asia,83,Abeno Harukas,Osaka (JP),300,984,60,2014,steel,hotel / office / retail,2019-01-18T02:39:17Z
Asia,84,Jin Wan Plaza 9,Tianjin (CN),299.7,983,66,2017,composite,hotel / office,2019-01-18T02:39:17Z
Asia,85,Shum Yip Upperhills Tower 2,Shenzhen (CN),299.3,982,62,2017,composite,office,2019-01-18T02:39:17Z
Asia,86,One Island East,Hong Kong (CN),298.1,978,68,2008,concrete,office,2019-01-18T02:39:17Z
Asia,87,Landmark Tower,Yokohama (JP),296.3,972,73,1993,steel,hotel / office,2019-01-18T02:39:17Z
Asia,88,R&F Yingkai Square,Guangzhou (CN),296.2,972,66,2014,composite,residential / hotel / office,2019-01-18T02:39:17Z
Asia,89,China World Trade Center Phase 3B,Beijing (CN),295.6,970,59,2017,composite,hotel / office,2019-01-18T02:39:17Z
Asia,90,Xiamen Shimao Straits Tower B,Xiamen (CN),295.3,969,67,2015,composite,office,2019-01-18T02:39:17Z
Asia,91,Riverfront Times Square,Shenzhen (CN),293,961,64,2016,composite,hotel / office,2019-01-18T02:39:17Z
Asia,92,Haeundae I Park Marina Tower 2,Busan (KR),292.1,958,72,2011,composite,residential,2019-01-18T02:39:17Z
Asia,93,SEG Plaza,Shenzhen (CN),291.6,957,71,2000,concrete,office,2019-01-18T02:39:17Z
Asia,94,Tanjong Pagar Centre,Singapore (SG),290,951,68,2016,composite,residential / hotel / office,2019-01-18T02:39:17Z
Asia,95,Concord International Centre,Chongqing (CN),290,951,64,2017,composite,hotel / office / retail,2019-01-18T02:39:17Z
Asia,96,Dongguan TBA Tower,Dongguan (CN),289,948,68,2013,composite,hotel / office,2019-01-18T02:39:17Z
Asia,97,Busan International Finance Center Landmark Tower,Busan (KR),289,948,63,2014,concrete,office,2019-01-18T02:39:17Z
Asia,98,China Chuneng Tower,Shenzhen (CN),288.6,947,62,2016,composite,office,2019-01-18T02:39:17Z
Asia,99,Plaza 66,Shanghai (CN),288.2,945,66,2001,concrete,office,2019-01-18T02:39:17Z
Asia,100,Kaisa Center,Huizhou (CN),288,945,66,2015,concrete,hotel / office,2019-01-18T02:39:17Z
Asia,101,Yingli International Finance Centre,Chongqing (CN),288,945,58,2012,concrete,office,2019-01-18T02:39:17Z
Asia,102,Shaoxing Shimao Crowne Plaza,Shaoxing (CN),288,945,55,2012,composite,hotel / office,2019-01-18T02:39:17Z
Asia,103,Soochow International Plaza East Tower,Huzhou (CN),288,945,50,2014,composite,hotel / office,2019-01-18T02:39:17Z
Asia,103,Soochow International Plaza West Tower,Huzhou (CN),288,945,50,2014,composite,residential,2019-01-18T02:39:17Z
